sentiment,selected_text
worry,just got rear ended
anger,Without the employer's knowledge and even without any communication their bank accounts were changed and their personal accounts closed.
neutral, Exactly . 
neutral,I made a MySpace for Twitter with the name 'The Twitter Kingdom'. Here is the link: http://bit.ly/13PQtw  - join me!
neutral,good
neutral, I'll try ; it's hard ! 
worry,I wish I could
neutral," Yes , I agree with you . When I retired I will participate in programs to keep momentally active . "
worry,Didn`t realize Animal Kingdom closes so early at 5:00 today. Now I`m stick in the exit traffic
anger,When I was subjected to a very nasty joke by a group of friends.
worry,missed
worry,
worry,", just drank too much."
worry,hey  how are you?
sadness,Hope ur all havin a nice Friday! Been feeling down this past week since my dog`s passing...
neutral,
sadness,"It can be the focus of inconsolable grief ; it inspires poetry and literature , symphonies and songs . "
sadness,"Looking up end-of-semester results, and finding I'd failed three out of seven (subjects)."
neutral, Good idea . 
sadness,e cranking spreadsheets
worry,woot
neutral,
worry,e rain has stopped me
neutral,Last time in the drama room
worry,"#BGT Quite an awkward moment, poor girl  I hope she doesn`t loose it again."
worry,what was it? I missed it.
sadness,When I realized that I could not communicate properly with my closest friend.
worry,sick
sadness,My best friend was not chosen for the English lectures.
neutral,picat 21
anger,Though later when I did the piece in Vienna I was furious when the orchestra showed up with five basses and a dozen first violins . 
neutral,thank you
neutral,
neutral,
worry,
worry,major anxiety attack
neutral,goodnight
worry,Uncool.
fear,"The first week I was at the school , I attempted to climb a tree , and was reproved by a horrified prefect . "
sadness,
sadness,****
worry,splints sucks!!
worry,
sadness,When I had to leave my mother and my sister after a week's visit.
sadness,
worry,Gods sake it isn`t even your birthday yet  i need a cool job like that.
fear,Having my luggage checked at Customs.
neutral,_da_**** ï¿½ cant im not @ my sister house no ï¿½-net tonite
neutral,Iï¿½m good.
sadness,I received the mid-term exam paper of one of my major subjects and I found that I had failed it.
neutral, Pardon ? 
neutral, Nothing . 
worry,nice
sadness,
sadness," I am sorry , sir . But may I see your driver's license and insurance policy , PLS ? I have to give you a ticket . "
fear,I got a very nasty electrical shock when I was tampering with some electrical applainces. 
sadness,feel very bad
worry,
neutral,
neutral, See you . 
sadness," Well , you know how I am about exams . I'm a perfectionist . "
worry,Miss the newest version on Glade on Debian..
fear,Before going to the dentist.
worry,
sadness,
worry,sad
boredom,bored
worry,I`m sorry.
neutral,
anger,She was absolutely livid . 
worry,Mostly I`m hoping it goes quickly.
neutral,Aye. Now I want cheesecake
neutral," So you'll make the Stars.com deadline , and have us up and running next week ? "
sadness,sad
neutral,sorry
neutral," No , what ? "
sadness,made me sad.
anger,A lady I live with had not bothered to clean up before she went   on holiday (I live in a collective).
fear,Eyewitnesses told of the horror as shrapnel rained down on shoppers from two devices placed in cast-litter bins less than ten yards apart . 
worry,Don`t leave forever! We`ll miss you too much
worry,"- u aint lost me, i`m right here"
neutral,"Storysize is 2 (and it`s posted as a short story, not one liner), but doesn`t show up in any news friends can see. Only in wall"
neutral,"Things good over here. Lovely weather,"
worry,I was going to but I`m siiiick  I`m so mad!!!! Jason said I have to recover fully before I go paintballin again! Are u playing?
neutral,"_d No, it`s not..."
sadness,s problems
neutral,
neutral, Is that so ? 
worry,"New pic.... Twitter is finally letting me change my pic.  For those that missed it, Fannish Inquisition is now  please follow"
anger,"The Profit Share Scheme was reduced in 1992 but many members have expressed great annoyance that another scheme within the Bank netted two former members of the staff in Britain almost 218,000 between them . "
worry,wanna leave work al
anger, That would be convenient . They might as well ask him to fix the electrical wiring . The circuit breakers keep going out all the time . It ’ s really annoying ! 
neutral, Sure . 
sadness,hurting..
neutral,
fear,I'm about to eat Taco Bell for the first time in over 10 years. 
worry,
neutral,"yeah, guess we gotta wait til sometime in June"
sadness,
neutral,your not following us
worry,Thank you for the rec but that doesn`t work
worry,Feeling considerably better
neutral," Oh , I see . "
worry,"Sick. Feel like jello, can`t talk, and delirious."
worry,i have a sunburn line on my back from the tag sticking out of my tank top all day..... ugh. i need aloe vera!! went to the park again
worry,
fear,"When I was a child, I was always afraid of my father. Just when he looked at me, I felt frightened."
neutral,"#avatarcamp photos, perhaps?  lol (just itching to see them!)"
neutral,i dont have my iphone until maybe next week!
sadness," I had to move it , so that I can get my bike through . "
neutral,it`s the best thing
worry,Today is way too stressful.
anger,"Well , I can ’ t believe your uncle and aunt came to stay with us for a week , and they did not even call us in advance . "
neutral,I`ve got the same hammock...no tree to hang it from
anger,"Once when I was playing table tennis I was already sure that I would win , but at last I lost the game."
neutral,Off to class
anger,"When my father addressed me directly and maliciously, thus including me in the \family war\""."""
neutral, No regrets ? 
anger,"I get angry when someone imputes on me things I never can do, naturally negative. Servility, \connections\"", impudence, traits that get me mad."""
sadness,
anger, I said sunny side up ! How many times do I have to tell you . 
neutral,what was said?
sadness,I was very sad when I heard about the death of my teacher who taught me in Standard 8.
neutral,I`m sure you are.    Toasties wasn`t far behin
worry,
sadness,
worry,
fear, I just watched a movie and I'm scared . 
anger,I get angry when people disbelieve me or misunderstand me.
sadness,will be practicing my smile today-it`s gunna be BIG!
worry,scare
neutral,Grass mowed. I can haz playtime now? No?  says we have errands to run
sadness,Losing a boyfriend for the second time to my friend. He fell in love with her. The same thing happened a few months earlier with another boyfriend.
anger,"Brazil , for example , was miffed that the summit wasn't scheduled for a date after inauguration of its new president next month ."
anger,Look what you've done ! 
sadness,"The time I lost a badminton match, that I should have won at the Zambia closed badminton championships."
neutral,"Excuse me , what's the screen near your steering wheel for ? "
sadness,Unfortunately
sadness,play
neutral,"That`s the way it crumbles, cookie-wise"
neutral,Sports car + curb = flat tire.
fear,The president was more concerned about the loss of jobs . 
worry,cats are gone.
sadness,it`s not.
sadness,jealous.
sadness,impossible to know them closely
anger,"But , despite his annoyance at being seeded No.2 to Baddeley even though he is the present No.1 , he declined to labour the point afterwards . "
neutral,good
neutral, Exactly . 
worry,i hate my life!
worry,Why isnt my internet working
neutral, See you . 
neutral,probably not  I want to go home
neutral,I am following Mya
sadness,When a class-mate died.
worry,"lacking,"
worry,they love my style of writing for HP.
sadness,
neutral,
sadness,
worry,
sadness,
sadness,My father suddenly fell ill and died.
sadness,"Several hours passed while he sat there , knowing that Maud would be inconsolable at having missed a charity dinner . "
worry,doesn`t work
worry,"wish we could have surprised them and gone to H, but just couldn`t work it out."
sadness,
neutral,Every country should face the history . 
anger, Silly boy ! The dustbin is at the back of the school . Now pick up the paperand put it in the dustbiri . 
fear, I don ’ t know anything about the bills or laws they ’ re trying to pass . 
worry,I want him to call
sadness," I'm sorry , sir . "
neutral,overreaction..
anger,"He turned a livid , stubbled face to the crowd . "
neutral,
neutral,
neutral,
neutral,
worry,I don`t want to be sick no mores
worry,All is well..That ends well!
worry,hurts.
sadness,
worry,
worry,
sadness,supposed to be great weather today & 2moro; just my luck Im stuck in work 1-10 both days!
neutral,are you tweeting while running?
neutral,Good Morning
sadness,Sadly
sadness,Away from the defence debate Dr Mowlam also yesterday spoke of her despair at the growing homeless problem in her constituency . 
sadness,
worry,Sad.
neutral, Why ? 
worry,s NO WAYYY I couldn`t `tune in`
neutral, Are they ? 
neutral,"HIS IS ORIGINAL FROM YOURS TRULY...  'If you want to become wealthy, learn the things most ppl say they don`t have time for' -ME"
neutral,
sadness, My bad . I didn't realize that it was so late . 
sadness,the BEST day ever. I met the greatest 10 year olds. but i will never see them again.. AHH. i`ll miss them (i saw them 1 hour xD) SAD
anger,"Being subject to unfair treatment in a working group, someone \bending the rules\"" was protected by the boss. This resulted in more work for the others."""
anger,Being stopped by the police for a traffic offence which I don't think I committed.
worry,as hopin
worry,
worry,
neutral,Well hello twitters
neutral,
worry,i have nowhere to go and no one to go with
worry,I`m at church now..bout to od on my smoothie bc it might be melted when I come back
neutral,
neutral,
neutral,l have a blast.
anger, I just don't trust you any more . 
neutral,Chocolate milk is so much better through a straw.
sadness,sweet .. Englands becoming lamer and lamer since you guys left
neutral,nottt nice
neutral, Over there . 
fear, i think i'll be a little afraid . 
sadness,
sadness,"http://bit.ly/253ce  :: I got bit in the face by a doberman when I was four years old, I just wanted a kiss   My neighbor had about 13 .."
fear,"To the dismay of German suppliers , Mr Lopez is also eager to share this advice with foreign competitors . "
sadness,
neutral,miss
anger,"My father accused my brother of having bumped his car, and it was wrong."
sadness,I miss my brothers.
neutral,TOLD YOU!
neutral, 20/350 . 
neutral,EOM......still at work
worry,
fear,I was afraid to walk through the forest one day when I dropped off the bus around 6.30 pm.
worry,
worry,Finally came around to shorten my Twitter username from  to . If you follow me - no need to change anything.
neutral,
neutral," I ... I ... I miss my parents , also they miss me . "
anger,A person I trusted a lot gave me many false explanations to justify a wrong action.
worry,aww. I hope you feel better soon.
sadness,"i miss everyone... i need faces  , not witty situational updates, but these will do..."
anger, Trust you ! You can't even handle simple plane reservations ! 
sadness," Because I feel tired all the time , even when I wake up in the morning . I find it very difficult to do any work . I have no appetite . "
sadness,won`t need my hugs anymore
worry,
sadness,Really missing hockey already.
fear,Little hesitant to apply deodorant ever again 
sadness,"During my holiday I met again a friend who had tried to commit suicide. She had just left hospital, her lips were trembling, she looked miserable."
worry,
worry,"May the fourth be with you.  Oh come on, no one had actually spelled it out yet"
worry,Have a good on
worry,
sadness," Oh , I ’ m sorry to hear that . I think you ’ d better talk to the police officer walking there . "
sadness,
worry,hell ou
neutral,
neutral,
neutral,
neutral, So Baltimore is winning ? 
neutral,im not a cookie so i wont comment  heh. who were those 2 girls who sang Crush btw? wud u know?
fear,I had been watching a triller a dark night in the country and I had to go the outside toilet on my own. 
sadness,When I saw my niece (5 yrs) crying in the hallway for her mother who had passed away about a month ago.
sadness,
sadness,When my honest intentions were marred by another's jealousy.
worry,bad car accident...
worry,if you need to talk or vent let me know
boredom,broke
anger,He felt their resentful eyes burning the nape of his neck . 
worry,I was gonna text u and ask what puff meant!!
worry,"It`s hot.  I could turn on the A/C, but I`m trying to be green for as long as I can stand it   Right now I`m just a little red and shiny."
worry,
worry,sad
neutral, Dance class ! I don't know how . 
sadness,doubt
neutral, Hi . 
neutral, It's 112 . 
neutral, It sure is 
sadness,I failed the exam because I didn't study . 
worry,sad
anger, I ’ m definitely taking them to court . 
sadness,but i know i can`t
neutral,
neutral, OK . 
neutral,guess Ill drive it back nine hours
fear,"One day, early morning my mother who is healthy fell ill.  There was no doctor or compounder near by and for a few hours -8 A.M to 6 P.M she did not speak a single sentence, nor did she drink water or  milk.  There was no movement in her body and I felt really scared.  I almost lost my confidence about her survival."
neutral,
worry,! Please
sadness,sorry i was busy last night
sadness,.sorry
sadness,The people of America and throughout the world were stunned and grief-stricken by the President 's assassination . 
worry,where is the rain please come out
sadness,
neutral, I got it . 
sadness,The loss of my mother.
neutral,_ i know !  my BG looks emo now .! lol
sadness,When I learnt that my brother-in-law had been poisoned by his friends and that he was dead.
sadness,
neutral,
worry,Suffering
neutral,saddo
fear,"Yes , emergency . There is a huge fire here . "
worry,Another friend knocked up.   Pretty soon everyone will have kids. Goodbye carefree youth!
neutral, Why not ? 
fear,"@goldenblades91 @BerticusMaximus it is exciting. except, yerno, I haven't finished my essay or my translation. "
neutral,chill
neutral,
fear,"Comme au match aller, un CSKA sans génie subit la loi des Lillois...jusque dans les dernières minutes? #LDC #LOSC"
sadness,nothing  let`s stay quiet together. ps: did you cry?
sadness,i wish it wasnt over
worry,"Morning all. It`s Monday. Sigh. Trying to have a positive outlook on the day, but it`s being difficult already."
worry,I love it  Guess I won`t win though LOL
anger,When someone chased me from his house.
worry,writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.
neutral,
neutral,thnks
sadness,I wish
sadness,yes ma`am u do have a pretty smile. but you also won`t eat chipotle with me.
neutral, It can ’ t be helped . 
worry,i want to! but im not over 18 and t&c says over 18`s only  wanna make an exception for me ;)
neutral,Editing all the photos I took at my brothers soccer game. He`s got a lot of work to do as a coach.
sadness,
worry,
neutral,Has lost his vocie and Adele is laughing at me LOL and still wondering why I`m in college on me week off
worry,Can`t sleep....restless mind! Agh
worry,wow. have a safe trip back home
neutral," Aha ! Now I understand.You were trying to buy stolen goods on the sidewalk.So , what I think is , you deserve to get cheated ! "
neutral,
worry,i will.
sadness,Nothing like yoga to clear the mind and make you realize how crappy things really are
neutral, So easy . 
neutral,just looked at your hotel web site..what a place   but they do massage  and thats my job..  lol
sadness,Yes. Need to listen to sad SP-Songs
sadness,not excited
worry,
neutral,
worry,free da
neutral,hater
neutral,
worry,
neutral,"You'v been work here for nearly a month , how do you feel about the job ? "
sadness, My mother just passed away last Tuesday . 
neutral," Oh , yes ? "
worry,hugh isn`t on it  lied last week
neutral,
neutral," I don ’ t agree with you . I maintain that we ’ re healthier , wealthier and wiser than we were a hundred years ago . "
neutral, 856674 . 
sadness,
neutral," Having a regular study routine and following it is very important , right ? "
sadness,"My friend was pregnant, but lost her child during the second month. I went to see her at hospital - she was crying. I felt very sorry for her."
neutral," Sorry , I don't smoke . "
neutral,I want a Monte Cristo sandwich sooo... BAd!!!
sadness,"pissed,"
worry,really thinks wee callum should of got through last night
neutral,"No, it`s people you are recommending that others follow, like followfriday, only with pics!"
neutral,
anger,My stomach's growling again ! 
sadness,"After hearing about the death of my grandfather.  First I could not believe it, but later I wept and felt the situation was hopeless.  I felt lonely and wanted to be consolated."
neutral, When crossing the road you must always pay attention to what's around you . 
neutral,"Hi , Kenji . "
anger,"I was annoyed when a person higher up asked me why a particular job was not done, it was not my job to do it.  "
neutral,
worry,
sadness,
worry,
anger,Liz suppressed her annoyance before it could take hold . 
worry,
neutral,
neutral,
worry,euhm i`m french and i don`t really understand English . poo..
sadness,sick
sadness, It is depressing to hear the price goes higher and higher . 
sadness,At the beginning of the year I moved to a new city - I felt sad as I had to leave many friends and family members behind.
neutral, What's up ? 
sadness,cancelled
worry,sucking
neutral, Where to ? 
anger,When I heard that I was not to be provided with another pair of medical uniform.
neutral,Thanks!
neutral, I'm sorry . 
neutral,fine!
neutral,
sadness,SICK.
anger, If you think that she is not fair with your work then you should talk to her in person instead of stewing over it . 
sadness,Is youtube not working properly for anyone else? I can`t watch videos because they keep failing to load
neutral,forgot
sadness,"He was tired as a treatment for depressed patients , and , given over a period of weeks rather than days , but it had disadvantages as well as advantages . "
worry,sorry
worry,pissing
worry,UGH! thiss sucks.
neutral,Good Morning
neutral,'To boldly go where no one has gone before...'
worry,
sadness,My brother in law was dying of cancer. To see him wasting away was very sad.
anger,that should be illegal
worry,but i went out and bought some nail polish ellen
neutral,
sadness,Bored.
sadness,s super sad
sadness,Summer/ Yet I have to read 6 books.... 6 LONG books
worry,
worry,hurts
sadness, That ’ s a lot of money . 
worry,not time for us girls
neutral,LOL!  Too true
fear,"When I had to walk over three kms through a field which had wild bulls, because my car had broken down."
sadness,hates me
worry,
neutral,playing Wii!
sadness,I feel your pain.
sadness, I'll tell you all about it another day . 
neutral,
worry,
sadness,not impressed
worry,
sadness,
sadness,. I`m sitting here with this girl that urk my nerves damm yo
worry,m sorryyyyyy
sadness,"I was quite sad to hear my right hon. Friend the Minister of Agriculture , Fisheries and Food say that he was prepared to sit in the negotiations for months . "
fear,Not walkin up stairs because you're afraid to trip going up.. 
neutral,bad..
worry,"Great day yesterday. Good win for Forest, some celebratory `staying up` drinks, a trip to an unsuccesful bbq and ï¿½1.50 Stellas in Scream"
sadness,To his great sorrow he could never recall his mother . 
worry,I`m good thank you
neutral,
neutral,Marriage course is not running on either of the bank holidays in May. Back and running next week
neutral, See you . 
worry,
neutral, For what ? 
neutral,leave Fraser alone
sadness,I wish
boredom,
worry,sorry.
sadness,"It was , however , obvious that there was some deep sadness within him . "
sadness,
fear,Finding out that I made a stupid mistake in the exam.
sadness,Shoot! I voted and somehow looked over yours ... boo hiss. Forgive me   Have a great weekend Arik
anger,"In September 1984, I was forced to live with someone I did not like.  The first week we were at loggerheads and our conversation was like a debate.  The atmosphere was very bad.  When he learnt that I had got 95 marks in a test he told me \ A failure, You lost 5 marks.\""   I was very angry, not because my marks were lower than his, but because I could not tolerate his pride.  I did not show my discontentment and carried on doing my work."""
neutral," You know the phrase , the survival the fittest . We have no choices . "
worry,They are my favorite- besides the fact they are slowly killing themselves with each shell they open.
worry,have no money.
neutral,
worry,i hope you feel better
worry,"I want this, but..."
worry,what do u do when ur dads losing it mentaly and dosent remeber you
anger,"By this time , Mattie was feeling irked , not by Urquhart but by O'Neill . "
neutral,
worry,WOO HOO
sadness,.sorry
neutral,It should take you back to colorado where you belong
worry,sick.
neutral,At minibar... listening to politics  maybe some tech starups soon?
sadness,gorgeous
neutral, Have they set a date for the wedding ? 
neutral,
neutral,
sadness,"Aw, Zach wasn`t feeling well  Hope he gets better. So babysitting was canceled."
neutral,"Hey guys, this is group for people who belong to 'Pune Institute of Compute Technology' college, Pune   via http://twibes.com/group/PICT"
boredom,we do to please moms
neutral,forget
sadness, Oooo . This sounds serious . 
sadness,"I so want to be a part of Windows Clubhouse, but my WL Spaces blog is random, and not the place where I share Windows stuff"
worry,We`re in the same boat.
sadness,"hey! haha, yep! that was me! negative comments get me reallllyyy mad; so i always defend them!  haha!"
sadness,"His anguished voice tailed off , to intensify the effect . "
sadness,I gave my brother a hug good-bye.. as he took a load of furniture away from the house. He took the mattress I like
sadness,Sleep-fail.
neutral,thankful
sadness,Close relative is dying of cancer - found out last week.
neutral,
worry,Not the perfect Fri night
sadness,Don`t feel like it
neutral,
neutral,Nite nite my fellow tweeters goin to put ma ipod in n listen to some westlife missin those guys  then headin to sleep early start  7am
worry,nauseous
sadness,
neutral, And ? 
worry,
sadness,
worry,based on the similarity between 'May the 4th be with you' and 'May the force be with you' today it`s the 'Star Wars Day'
worry,wishing my days off were the same days that people wanted to party.
neutral,
fear,"the awkward moment when someone who shouldn't wear a thong does O,o "
anger,"When I checked my examination paper and realized that I had been careless, thoughtless, lazy and hasty so as to make unnecessary mistakes concerning things I know and understand."
neutral,lovey
sadness,i wish for kiau to go cat heaven too. and meet my seuss
worry,Oh noes! The TV is broken  No red standby light or anything... checked the plug fuse... now to the inside
sadness,s cryin
worry,caught
fear,wake up in the morning eat some flakes buck up go to work for poverty wages send your kids to #FEAR war get sick go broke repeat.
worry,
sadness,"she`s an incredible jewelry designer,"
neutral,
sadness,"has a lot to catch up on from the weekend! The BHR hosts have been busy, busy, busy  http://plurk.com/p/rqpl7"
neutral,forgot
sadness, I am sorry . I am very tired . I'm going to bed early . 
neutral,just finished eating
anger,But her annoyance over the pictures could not distract Catherine from her latest -- and biggest -- ambition . 
sadness,When I received a message that my brother was seriously ill and was in hospital.
worry,
sadness,crappy
worry,yeah... i guess my password was also changed... i was not able to login my FB  cahnge my pw again ...ufff
worry,WISH
sadness,energy
sadness,Leaving the house myself and a female friend had shared for 6-8 months because of the friendship which developed and our approach to each other in occasional instances of several personal crises.
worry,? what is this? is everyone abandoning me?
neutral,Hello ? 
worry,Freakin` HAWT guys
worry,
fear, Is it a horror movie ? 
sadness,sadly
neutral,It seems that you get antsy when you hear I praise another guy . 
sadness,"With a disconsolate sigh she stood up , slipped off the towelling robe and threw it over a chair . "
fear,Both are designed to convince the readership of the horror of the subject-matter . 
sadness, What a pity ! I know you've been longing for it these months . 
neutral," I can see that you are trying , but where do you think you could improve ? "
sadness,it`s pretty cold outside  today i got another exam...
neutral,love you tooooo
worry,i changedd my background  its from picnik.
neutral,I`m a bit Ben`s Thai-ed out
neutral, Follow me . 
neutral,
sadness,
sadness,Got three shots today.   I can`t lift my arms...
neutral,doesn`t want to go to work..
worry,te a fake competetion
sadness,"In 1977, my grandfather, to whom I had a very close relationship, died."
neutral,I`m waiting for it so I can get back to Nambu which stopped working on 10.5.7  (for me)
neutral, a dozen . 
boredom,Argh!
neutral,thanks!
fear,"He 's concerned what will happen to me . "" "
sadness,is very cold
sadness,"I had a schoolmate who went to the hospital as her brain was bleeding.  She fell unconscious for three days and when I went to see her I saw the miserable state the family was in.  Moreover I could not do nothing for her.  I was very sad.  Finally, she died."
worry,My dad is taking me to school & picking me up tomoz. Plus I have drama almost all day. Score bludge day
worry,s I just don`t entertain him :/
neutral,It says the video is private
sadness,sorry to disappoint.
worry,quite sad
worry,
neutral,DAYUUMM Life`s Hard
neutral,
sadness,ll in sick on Mondays or Fridays - LOL!
anger,"A male, Honduran acquaintance of mine despised my opinions."
worry,
worry,hateeee
worry,
sadness,Missing
neutral,good!
anger,Discussing with a certain person about a job I was getting and that perosn was negative and pessimistic.
neutral,Thanks
neutral,
worry,I can`t wait that long
sadness,up late last night  .... Oracle from 8 to 4:30
worry,
worry,"awesome,"
worry,prettty goooooooood   going to daaaaaancing in a mo and havnt studied much for maths
neutral,me too
sadness,hate
neutral," Ok , spit . "
anger, it was . The hijackers didn't have any respect for human life not even their own . 
neutral,lucky
worry,My head is hurtin
worry,
neutral,living in ballarat again
anger,"She disliked the intimacy he showed towards some of them , was resentful of the memories they shared of which she was not a part , and felt excluded . "
sadness, I got caught cheating . I feel so ashamed . The teacher saw me and told me I failed . 
worry,not happy
sadness,ahhhh now i have no pic
worry,That doesn`t sound fun
neutral,Update 100
sadness,So guttered that Ruby got eliminated from NZNTM..  I`m all about supporting the locals. Haha. Hosanna better not win..!
neutral,
neutral,go with firefox
worry,
sadness,Nails became miserable with anxiety . 
worry,sore
anger,Congratulations on the new house ! 
sadness,"My mother died of cancer after a 4 year illness - I think the most pregnant moment of sadness was the next morning, just as the sun rose."
neutral,it will be 45+ in June/July
worry,
worry,it wont work for me
neutral,
neutral,
neutral,
sadness,
sadness,"After hearing the news about the death of my sister, I felt very sad."
neutral,up way too early for a sunday.. watching old episodes of grey`s
sadness,"Oh , my God ! I feel nothing is going smooth . "
sadness,missed out
sadness,"world`s ugliest dog has died  We`ll miss you,"
neutral,is back from a weekend get away
fear,"When I was a child, I had a nightmare. At that time, I was not yet able to tell anybody about it, so I was very frightened. I could not explain myself all that and I had to deal with it by myself."
worry,
worry,"off this cold, ugh"
anger, Jennifer Davies ? Give me a break ! I can't stand her . She's such a dweeb ! How could she possibly ace it when she keeps cutting class all the time ? 
worry,well dnt really knw wot to do
neutral,That comment was just to ..well you know...to not reply to it.
sadness,blood everywhere!!!
anger,hopefully it don`t go that far  sometimes I feel like renouncing my roots
sadness,good
worry,"I say the same about poems. When you are ready to write, 'nothing else matters' as a well known song tells us"
worry,my HD is full. need to cleanup a lot
neutral,
worry,far too warm
neutral, I never know when to shake hands and when not to . Can you tell me something about it ? 
neutral,May we be humble but Bold for Christ!  lisa..
neutral,"I don`t know you, but you made me lose"
sadness,"There I lay , half-roasted on one side , freezing on the other , in a sort of trance , more abjectly miserable than I can tell . "
neutral,#stackeoverflow
neutral,
sadness,Why are embossers so expensive? Can I do get one on the cheap? Trying to save 75%. Papersource order goes in TONIGHT. Sry bank account
sadness,
neutral,"i actually really liked Merlin last night. some parts were a bit eh, but the part where that chick was singing was like whoa."
worry,i really need a skateboard  ........
neutral,test test from the LG enV2
anger," Yes , but you might have told me before . "
neutral,i`m pretty sure he`s every main character we`ve ever written. that or
worry,
worry,Slept at my parents the bed was hard as a rock now my back feels like a rock
worry,
worry,diiinner  its sooo cold right here D:
neutral,i`m goin to bed now. see ya tomorrow twitter ppl.
sadness,"hah eeee, although understandable.. i need a new picture for this thing.. but i`m all sweaty"
worry,.no luck
sadness,China can not even give you good sound systems for an open lecture.
sadness,missing
sadness,worse
anger," No , we got no receipt , but we paid on the spot . "
neutral,"Don`t worry,"
neutral,Guy coming to see my car is late
sadness,When I realized that it was impossible for me to be as free as I had imagined and that I could not do anything about it.
neutral, OK . 
neutral,"Remeber my blue dolphin?  I wore it out, thinking Victoria day gift for me?"
sadness,Waking up with Star Wars End Title Song in my had is sorta awesome .. and also kinda creepy
worry,http://twitpic.com/4w70j - Left: This is your brain. Right: This is your brain on drugs.
neutral,
worry,
sadness,
neutral,Goodnight
neutral,don`t you agree?
sadness,ruined th
worry,miss
neutral, Why ? 
worry,sick
neutral,. No cuties for me
anger, The tapping of your pen on your desk . It ’ s driving me crazy . 
worry,That is the 3rd NKOTB contest that Canadians can`t enter   The overseas fans have theirs now!  It`s bound to be our tur
sadness,Checked the bank acct this mornin..got a lil sad..then decided I would imagine a 0 on the end just to make me smile.  #whateverworks
neutral,take a medicine
anger,I am currently taking CS 50P. I had to finish a couple of assignments but I was hindered because I could not get a passing score on my program.
fear,"Libel lawyers are nervous of the word "" lie "" because it implies that a person said something which he knew was untrue . "
worry,
sadness,
anger,When our cat was killed in a car-accident I was very angry at the driver of the car because he didn't take enough care.
neutral,Leno`s last show tonight.
neutral,last day of classes!!
sadness,Amanda 's grief for her father was compounded by anxiety over his ontological status . 
worry,
worry,"don`t frown my lil aussie, I still love you! *muah*"
neutral,
neutral, Okay . 
worry,About to make **** happen
sadness,"A close relative was at odds with a very powerful firm.  All his things had been taken, His dad had died a little before this event.  He gathhered his children and vowed to give them a good life with a new start - the words were hollow, he bit back his tears .....I asked to be excused and then went and cried in the loo."
neutral, Didn't I ? 
neutral, Fifty yuan . 
neutral, Sign me up for Monday and Wednesday . 
worry,My Dad worked for SW when I graduated HS. Worked at HOU 21 years.   He retired 3 years before I joined the Compan
worry,"we live a life on the edge of things, and one foot foul of the law!"
neutral,Yeah
sadness,Dammit!
worry,beautiful
fear,One evening my father told me to go into the cellar and get him a beer. I was terribly frightened at the idea of a man sitting in the cellar and assaulting me. For my defence I took an empty bottle with me.
worry,
sadness,great
neutral,
sadness,"Heartbroken , Maria had to return to the convent and remain a nun for the rest of her life . "
fear,"I have a slight irrational of disappearing or going into a fugue state somewhere. #GCcal, #Twitter and now #Foursquare help me w/that."
sadness,"Woke Up,I Wanna Stay In My bed"
worry,
neutral,
neutral,
neutral,Happy
worry,has stuff to do but refuses to do them.  :[
worry,not sure i can make it
worry,
fear,When I was cycling past a parked car someone opened the door and nearly pushed me off my bike and into the traffic.
neutral,beautiful
neutral,y I`m not going to be much help...
worry,
sadness,Lovin  the clean shaven Mr Flowers!  He looks so young!!
fear,"After my shoulder operation, I woke up in the hospital room alone. I was in pain and was still under heavy medications. I could not find my parents."
worry,
sadness,t`s depressi
neutral,T-bone`s gone to sleep... Think we`re gonna join him
worry,Sad. I
neutral,maybe it`ll listen to you  dude it`s like three in the morning. what time is it over there?
neutral, Yes . 
neutral,all tubes closed on 9th and 10th of june  any idea of how to get to the venue?
worry,
sadness," I don't know , I can't stand my job these days . "
worry,"Heading to the hospital to sort out my back, not looking forward to this"
neutral,
neutral,
anger, How dare you be so inconsiderate ? That's wrong . 
neutral,no Belgian an not a record collector
neutral,Work time....
anger,"This is the end , Jane . I don't want a girlfriend who goes out with other guys all the time . "
fear," last forever, last til the person gets over it and confronts it or til someone badder comes along."
worry,l miss
neutral,i cannot deal
neutral,
neutral,
worry,sad
neutral,
worry,hurts
neutral,
neutral,just got a wii
sadness, I feel so tired . 
neutral,morning
sadness,impossible
sadness," I ’ m sorry , Mr . Baker ’ s not in . May I take your message ? "
worry,rescue group went and got him.
neutral,Why are you shivering ? 
worry,
fear,I felt very frightened when a robber broke into our house and threatened to shoot my father if he did not part with some money.  I was looking at the man with his hand on the trigger.
worry,
worry,i`m going to fail this final.
worry,
worry,sick..
neutral,
worry,
worry,so i can just watch that again  x
neutral, my boss . 
sadness,
neutral," It's easy . If you do exercise everyday , you can make it , too . "
anger, You are always like this . I've told you many times not to tell her . 
neutral,
anger,"She was single-minded and uncompromising in her work , so that she sometimes provoked exasperation among her colleagues , a feeling immediately tempered by the admiration they felt . "
neutral,failed
sadness,my arms hurt!
worry,underpriveledged
sadness,"A very close friend from Victoria visited me over the holidays. Having enjoyed his company immensely over 10 short days, I was overwhelmed by sadness when he left to return to Victoria "
neutral,"Hey there, I just crop them in Photoshop and play around with the composition. What looks better large etc."
worry,omg evie. we have to do our plan for hot 30 tomorrow night
worry,Miley Stevens - Waterhouse is at Jhy`s house  http://apps.facebook.com/catbook/profile/view/6402509
